Bauwerk Name;Bauwerkselement Name;Bauwerkselement Typ;Bauwerkselement Nummer;Bauwerkselement Niveau;X-Koordinate;Y-Koordinate;Bauwerksreferenzort Nummer;Bauwerkselement Exportnummer
Frankfurt (Oder), Mühlenweg;Zugangsbereich Gustav-Adolf-Straße Treppe zum Tramsteig;Zwischenpunkt;4;0;14,540481;52,322537;360101;303422004
Frankfurt (Oder), Mühlenweg;Frankfurt (Oder), Mühlenweg;Bauwerk;3422;;14,540550;52,322478;360101;900360101
Frankfurt (Oder), Mühlenweg;Rampe zum Tramsteig Richtung Neuberesinchen;Zwischenpunkt;8;-2;14,540493;52,322494;360101;303422008
Frankfurt (Oder), Mühlenweg;Rampe zum Tramsteig Richtung Stadion;Zwischenpunkt;10;-2;14,540681;52,322462;360101;303422010
Frankfurt (Oder), Mühlenweg;Rampe zum Zugangsbereich Gottfried-Benn-Straße;Zwischenpunkt;12;-2;14,540827;52,322436;360101;303422012
Frankfurt (Oder), Mühlenweg;Tramsteig Mühlenweg;ÖV;1;-1;14,541051;52,322660;360101;303422001
Frankfurt (Oder), Mühlenweg;Tramsteig Mühlenweg;ÖV;2;-1;14,540228;52,322343;360101;303422002
Frankfurt (Oder), Mühlenweg;Tramsteig Richtung Neuberesinchen Rampe zum Zugang Gustav-Adolf-Straße und Gottfried-Benn-Straße;Zwischenpunkt;5;-1;14,540431;52,322462;360101;303422005
Frankfurt (Oder), Mühlenweg;Tramsteig Richtung Stadion Rampe zum Zugang Gottfried-Benn-Straße und Gustav-Adolf-Straße;Zwischenpunkt;6;-1;14,540713;52,322479;360101;303422006
Frankfurt (Oder), Mühlenweg;Treppe zum Zugangsbereich Gustav-Adolf-Straße;Zwischenpunkt;9;-2;14,540500;52,322521;360101;303422009
Frankfurt (Oder), Mühlenweg;Zugang Gottfired-Benn-Straße;Zugang;7;0;14,541099;52,322354;360101;303422007
Frankfurt (Oder), Mühlenweg;Zugang Gustav-Adolf-Straße;Zugang;3;0;14,540452;52,322561;360101;303422003
Frankfurt (Oder), Mühlenweg;Zugangsbereich Gottfried-Benn-Straße Rampe zu den Tramsteigen;Zwischenpunkt;11;0;14,540893;52,322385;360101;303422011
Frankfurt (Oder), Neuberesinchen;Bushalt Neuberesinchen;Zugang und ÖV;3;0;14,536217;52,322378;360103;301340003
Frankfurt (Oder), Neuberesinchen;Frankfurt (Oder), Neuberesinchen;Bauwerk;1340;;14,536285;52,322300;360103;900360103
Frankfurt (Oder), Neuberesinchen;Tramsteig Neuberesinchen;Zugang und ÖV;1;0;14,535578;52,322782;360103;301340001
